accession	taxid	realm	kingdom	phylum	class	order	family	genus	species	host	length_bp
NC_004049.1	198597	Riboviria	Orthornavirae	Lenarviricota	Howeltoviricetes	Cryppavirales	Mitoviridae	Duamitovirus	Duamitovirus opno3a	eukaryote	2617
NC_001541.1	10623	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Kappapapillomavirus		eukaryote	7868
NC_001678.1	10570	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus		eukaryote	8028
NC_001690.1	40538	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 2	eukaryote	7100
NC_001693.1	40540	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 4	eukaryote	7313
NC_001691.1	40539	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 3	eukaryote	7184
NC_001676.1	1671798	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 13	eukaryote	7759
NC_022641.1	40052	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Orbivirus changuinolaense	eukaryote	1653
NC_001701.1	38251	Floreoviria	Shotokuvirae	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Dependoparvovirus anseriform1	eukaryote	5106
NC_006146.1	45455	Duplodnaviria	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Lymphocryptovirus	Lymphocryptovirus macacinegamma4	eukaryote	171096
NC_002815.2	112227	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Tymovirales	Alphaflexiviridae	Potexvirus	Potexvirus ecscacti	eukaryote	6614
NC_005215.1	3052499	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Hantaviridae	Orthohantavirus		eukaryote	3696
NC_005077.1	3052307	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Arenaviridae	Mammarenavirus		eukaryote	3343
NC_005897.1	3052324	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Arenaviridae	Mammarenavirus		eukaryote	7089
NC_004197.1	10561	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Xipapillomavirus		eukaryote	7276
NC_016447.1	50290	Duplodnaviria	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Cytomegalovirus	Cytomegalovirus aotinebeta1	eukaryote	219474
NC_016448.1	1535247	Duplodnaviria	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Cytomegalovirus	Cytomegalovirus saimiriinebeta4	eukaryote	196691
NC_016575.1	1046573	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus asystasiaprimi	eukaryote	2727
NC_016576.1	1046573	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus asystasiaprimi	eukaryote	2661
NC_006962.2	404196	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Closteroviridae	Crinivirus	Crinivirus rubi	eukaryote	7800
NC_001718.1	10796	Floreoviria	Shotokuvirae	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Protoparvovirus	Protoparvovirus ungulate1	eukaryote	5075
NC_001747.1	12045	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	Polerovirus	Polerovirus PLRV	eukaryote	5987
NC_004104.1	333769	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 14	eukaryote	8033
NC_004171.1	134554	Riboviria	Orthornavirae	Duplornaviricota	Vidaverviricetes	Mindivirales	Cystoviridae	Gammacystovirus	Gammacystovirus phi13	prokaryote	4213
NC_004178.1	10995	Riboviria	Orthornavirae				Birnaviridae	Avibirnavirus	Avibirnavirus gumboroense	eukaryote	3183
NC_004628.1	172278	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus chillicapsici	eukaryote	2754
NC_003606.1	31742	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus halapensis	eukaryote	9779
NC_003782.1	81583	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Triatovirus	Triatovirus himetobi	eukaryote	9275
NC_002509.2	12230	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus rapae	eukaryote	9835
NC_008190.1	348449	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae			eukaryote	1791
NC_008191.1	348449	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae			eukaryote	1866
NC_000939.2	44562	Riboviria	Orthornavirae	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	Aureusvirus	Aureusvirus aurei	eukaryote	4415
NC_003762.1	10991	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Phytoreovirus	Phytoreovirus alphaoryzae	eukaryote	2449
NC_002199.1	92129	Riboviria	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Tupaivirus	Tupaivirus tupaiae	eukaryote	17904
NC_005036.1	204987	Riboviria	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae			eukaryote	15192
NC_005134.2	247269	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Betapapillomavirus	Betapapillomavirus 5	eukaryote	7438
NC_004011.1	42004	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus ampeloprasi	eukaryote	10142
NC_004295.1	72197	Floreoviria	Shotokuvirae	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Erythroparvovirus		eukaryote	5028
NC_003930.1	84589	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Alphavirus salmon	eukaryote	11919
NC_003878.1	111418	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	Tobamovirus	Tobamovirus cucurbitae	eukaryote	6513
NC_016441.1	418827	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus pachyrhizus	eukaryote	9649
NC_016577.1	1046572	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus		eukaryote	2633
NC_016578.1	666144	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus cleomecrispi	eukaryote	2725
NC_003215.1	11033	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Alphavirus semliki	eukaryote	11442
NC_004640.1	225752	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus ipomoeageorgiaense	eukaryote	2773
NC_004810.1	51330	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Closteroviridae	Crinivirus	Crinivirus cucurbitae	eukaryote	7976
NC_007537.1	235994	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Betapartitivirus	Betapartitivirus roselliniae	eukaryote	2299
NC_006630.1	284503									eukaryote	647
NC_007767.1	28288				Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus hycuneae	eukaryote	132959
NC_008283.1	292477	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus capsicumindonesiaense	eukaryote	2750
NC_008284.1	292477	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus capsicumindonesiaense	eukaryote	2726
NC_005221.1	11591	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Phenuiviridae	Uukuvirus	Uukuvirus uukuniemiense	eukaryote	1720
NC_001265.2	11986	Riboviria	Orthornavirae	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	Alphacarmovirus	Alphacarmovirus dianthi	eukaryote	4003
NC_002469.1	1239577	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus ovis	eukaryote	6440
NC_004215.1	104580	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Seadornavirus	Seadornavirus kadipiroense	eukaryote	1947
NC_004216.1	104580	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Seadornavirus	Seadornavirus kadipiroense	eukaryote	1670
NC_003610.1	111970	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	Tobamovirus	Tobamovirus kyuri	eukaryote	6514
NC_003400.1	445435	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Tymovirales	Alphaflexiviridae	Potexvirus	Potexvirus triasparagi	eukaryote	6985
NC_004618.1	222450	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus chayotis	eukaryote	2787
NC_004655.1	223275	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus manihotiszanzibarense	eukaryote	2785
NC_005053.1	232802	Floreoviria	Shotokuvirae	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Circovirus duck	eukaryote	1996
NC_005132.1	174142	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Tymovirales	Alphaflexiviridae	Botrexvirus	Botrexvirus ecsbotrytis	eukaryote	6966
NC_015961.1	983437	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus solanumpallidicontorsionis	eukaryote	2605
NC_005079.1	3052317	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Arenaviridae	Mammarenavirus		eukaryote	7196
NC_005175.1	185782	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Aquareovirus		eukaryote	909
NC_008170.1	347219	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Kitaviridae	Cilevirus	Cilevirus leprosis	eukaryote	4986
NC_006308.2	11553	Riboviria	Orthornavirae	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Gammainfluenzavirus	Gammainfluenzavirus influenzae	eukaryote	2363
NC_006311.1	11553	Riboviria	Orthornavirae	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Gammainfluenzavirus	Gammainfluenzavirus influenzae	eukaryote	1807
NC_006309.2	11553	Riboviria	Orthornavirae	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Gammainfluenzavirus	Gammainfluenzavirus influenzae	eukaryote	2183
NC_010148.1	486898						Tolecusatellitidae	Betasatellite	Betasatellite solanibangalorensesecundi	eukaryote	1361
NC_015626.1	928289	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae			eukaryote	7801
NC_001927.1	35304	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus bunyamweraense	eukaryote	961
NC_006935.1	304222						Tolecusatellitidae	Betasatellite	Betasatellite gossypigeziraense	eukaryote	1348
NC_005225.1	3052493	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Hantaviridae	Orthohantavirus		eukaryote	6550
NC_003083.1	70600				Naldaviricetes	Lefavirales	Baculoviridae	Alphabaculovirus	Alphabaculovirus eppostvittanae	eukaryote	118584
NC_007988.1	10484						Polydnaviriformidae	Ichnoviriform		eukaryote	7760
NC_007989.1	10484						Polydnaviriformidae	Ichnoviriform		eukaryote	8284
NC_012038.1	592206	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Tymovirales	Betaflexiviridae	Carlavirus	Carlavirus necroretis	eukaryote	8542
NC_012041.1	591160	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus abelmoschusbhubhaneswarense	eukaryote	2757
NC_005778.1	52280	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus capsivenamaculae	eukaryote	9711
NC_004573.1	187978	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus perulycopersici	eukaryote	9899
NC_005288.1	32624	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus lilimaculae	eukaryote	9644
NC_003605.1	12202	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus lactucae	eukaryote	10080
NC_005889.1	256548	Floreoviria	Shotokuvirae	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Dependoparvovirus mammalian1	eukaryote	4693
NC_005999.1	104581	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Orbivirus saintcroixense	eukaryote	2024
NC_007013.1	289366	Floreoviria	Shotokuvirae	Commensaviricota	Cardeaviricetes	Sanitavirales	Anelloviridae		Small anellovirus	eukaryote	2249
NC_003616.1	11612	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Tospoviridae	Orthotospovirus	Orthotospovirus impatiensnecromaculae	eukaryote	4972
NC_003614.1	40687	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Tospoviridae	Orthotospovirus	Orthotospovirus arachinecrosis	unknown	8911
NC_008302.1	163325	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Elliovirales	Tospoviridae	Orthotospovirus	Orthotospovirus capsiciflavi	eukaryote	8912
NC_007571.1	36427	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus tritogastroenteritidis	eukaryote	1063
NC_009087.2	12165	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Tymovirales	Betaflexiviridae	Carlavirus	Carlavirus betachrysanthemi	eukaryote	8855
NC_011545.2	1513208	Floreoviria	Shotokuvirae	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Protohepanvirus	Protohepanvirus decapod1	eukaryote	6310
NC_013023.1	642251									unknown	2162
NC_013465.1	652718	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus ipomoeacanaryense	eukaryote	2807
NC_013057.1	573900	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Arenaviridae	Mammarenavirus	Mammarenavirus mopeiaense	eukaryote	3383
NC_005210.2	72750	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Closteroviridae	Crinivirus	Crinivirus pseudobetae	eukaryote	7903
NC_005209.2	72750	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Closteroviridae	Crinivirus	Crinivirus pseudobetae	eukaryote	8006
NC_013116.1	664785	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemycircularvirus	Gemycircularvirus sclero1	eukaryote	2166
NC_014597.1	905055						Alphasatellitidae			eukaryote	1379
NC_004830.2	198112	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	Iflavirus	Iflavirus aladeformis	eukaryote	10140
AC_000003.1	10512	Varidnaviria	Bamfordvirae	Preplasmiviricota	Pharingeaviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Mastadenovirus canidae	eukaryote	30536
NC_008177.1	338781	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Mimoreovirus	Mimoreovirus micromonadis	eukaryote	1556
NC_001457.1	10617	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 1	eukaryote	7353
NC_015399.1	759938	Floreoviria	Shotokuvirae	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Circovirus barbel	eukaryote	1957
NC_007654.1	348296	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae			eukaryote	10305
NC_007612.1	1001533	Floreoviria	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyoxipapillomavirus	Dyoxipapillomavirus 1	eukaryote	7412
NC_006314.1	73561	Riboviria	Orthornavirae	Negarnaviricota	Milneviricetes	Naedrevirales	Aspiviridae	Ophiovirus	Ophiovirus citri	eukaryote	8186
NC_006315.1	73561	Riboviria	Orthornavirae	Negarnaviricota	Milneviricetes	Naedrevirales	Aspiviridae	Ophiovirus	Ophiovirus citri	eukaryote	1645
NC_006316.1	73561	Riboviria	Orthornavirae	Negarnaviricota	Milneviricetes	Naedrevirales	Aspiviridae	Ophiovirus	Ophiovirus citri	eukaryote	1447
NC_014821.1	75387	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Tymovirales	Betaflexiviridae	Foveavirus		eukaryote	9311
NC_016964.1	1196647	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Mischivirus	Mischivirus defoxi	eukaryote	7948
NC_016965.1	938276	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus		eukaryote	2762
NC_003559.1	59817	Floreoviria	Shotokuvirae	Cressdnaviricota	Arfiviricetes	Mulpavirales	Nanoviridae	Nanovirus	Nanovirus necroflaviviciae	eukaryote	999
NC_003560.1	59817	Floreoviria	Shotokuvirae	Cressdnaviricota	Arfiviricetes	Mulpavirales	Nanoviridae	Nanovirus	Nanovirus necroflaviviciae	eukaryote	1003
NC_016877.1	1004049	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales				eukaryote	1761
NC_015552.1	1032457	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	Tobamovirus	Tobamovirus passiflorae	eukaryote	6791
NC_015879.1	75888	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Orthoreovirus papionis	eukaryote	3766
NC_015880.1	75888	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Orthoreovirus papionis	eukaryote	2292
NC_015881.1	75888	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Orthoreovirus papionis	eukaryote	2143
NC_015882.1	75888	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Orthoreovirus papionis	eukaryote	1892
NC_007905.1	3052308	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Arenaviridae	Mammarenavirus		eukaryote	3366
NC_001434.1	291484	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Hepelivirales	Hepeviridae			eukaryote	7176
NC_006644.1	39640						Polydnaviriformidae	Bracoviriform		eukaryote	16103
NC_008305.1	77811	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus euphorbiamusivi	eukaryote	2602
NC_007731.1	85454	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Tymovirales	Alphaflexiviridae	Potexvirus		eukaryote	6607
NC_013218.1	392504	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Comovirus	Comovirus rapae	eukaryote	6082
NC_013219.1	392504	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Comovirus	Comovirus rapae	eukaryote	3985
NC_013220.1	640897	Riboviria								eukaryote	3220
NC_013397.1	449133	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Orbivirus ruminantium	eukaryote	2968
NC_013398.1	449133	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Orbivirus ruminantium	eukaryote	2768
NC_013399.1	449133	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Orbivirus ruminantium	eukaryote	1983
NC_013401.1	449133	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Orbivirus ruminantium	eukaryote	1640
NC_001866.1	11867	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Alpharetrovirus		eukaryote	3392
NC_001494.1	11746	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Betaretrovirus	Betaretrovirus ovijaa	eukaryote	7462
NC_014395.1	11588	Riboviria	Orthornavirae	Negarnaviricota	Bunyaviricetes	Hareavirales	Phenuiviridae	Phlebovirus	Phlebovirus riftense	eukaryote	1690
NC_013221.1	640897	Riboviria								eukaryote	2896
NC_001361.2	12167	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Tymovirales	Betaflexiviridae	Carlavirus	Carlavirus misolani	eukaryote	8533
NC_013403.1	449133	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Orbivirus ruminantium	eukaryote	1186
NC_013405.1	449133	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Orbivirus ruminantium	eukaryote	810
NC_013400.1	449133	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Orbivirus ruminantium	eukaryote	1803
NC_010951.1	51673	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus wissadulae	eukaryote	2578
NC_010952.1	51676	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus macroptilaurei	eukaryote	2605
NC_014238.1	667093	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Orthoreovirus broomense	eukaryote	3848
NC_007534.1	311229	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Mycoreovirus	Mycoreovirus roselliniae	eukaryote	2089
NC_008004.1	10484						Polydnaviriformidae	Ichnoviriform		eukaryote	7887
NC_007560.1	352248	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales				eukaryote	3780
NC_007816.2	165432	Riboviria	Orthornavirae	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	Aureusvirus	Aureusvirus cucumis	eukaryote	4431
NC_022637.1	40052	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Orbivirus changuinolaense	eukaryote	1028
NC_015116.1	11946	Riboviria	Pararnavirae	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Alpharetrovirus	Alpharetrovirus avileu	eukaryote	7489
NC_004440.1	12275	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Nepovirus	Nepovirus nigranuli	eukaryote	4633
NC_003443.1	2560525	Riboviria	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Orthorubulavirus	Orthorubulavirus laryngotracheitidis	eukaryote	15646
NC_005281.1	324900	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Marnaviridae	Marnavirus	Marnavirus taichanarum	eukaryote	8587
NC_002728.1	3052225	Riboviria	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Henipavirus		eukaryote	18246
NC_003729.1	10990	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Fijivirus	Fijivirus alporyzae	eukaryote	4501
NC_004611.1	223347	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus solanumdelhiense	eukaryote	2739
NC_003615.1	12274	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Nepovirus	Nepovirus foliumflabelli	eukaryote	7342
NC_010953.1	51676	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus macroptilaurei	eukaryote	2553
NC_016648.1	1131702	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	Alphaendornavirus	Alphaendornavirus perseae	eukaryote	13459
NC_016159.1	1080799	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Potyvirus	Potyvirus cynanchi	eukaryote	9626
NC_015491.1	714309	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus merremiapuertoricoense	eukaryote	2585
NC_015962.1	983437	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus solanumpallidicontorsionis	eukaryote	2625
NC_016418.1	1088890	Riboviria								eukaryote	9565
NC_017004.1	1125764	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus manihotismadagascarense	eukaryote	2769
NC_015124.1	971271	Floreoviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus solanumhanoiense	eukaryote	2740
NC_015126.1	38170	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Orthoreovirus avis	eukaryote	3958
NC_001331.1	2011081	Floreoviria	Loebvirae	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Primolicivirus		prokaryote	7349
NC_003056.1	12049	Riboviria	Orthornavirae	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	Luteovirus	Luteovirus glycinis	eukaryote	5853
